branch_id,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
7,MJ24B0001,C400001,Male,29,Toys,11,2100000.00,Debit Card,2024-01-02,,23100000.00
7,MJ24B0002,C400002,Female,52,Technology,7,56000.00,Cash,2024-01-09,,392000.00
7,MJ24B0003,C400003,Female,50,Toys,1,22000.00,Debit Card,2024-01-16,,22000.00
7,MJ24B0004,C400004,Male,73,Toys,6,56000.00,Credit Card,2024-01-23,,336000.00
7,MJ24B0005,C400005,Male,48,Technology,8,145000.00,Cash,2024-01-02,,1160000.00
7,MJ24B0006,C400006,Female,57,Technology,5,56000.00,Credit Card,2024-01-09,,280000.00
7,MJ24B0007,C400007,Male,41,Technology,9,310000.00,Credit Card,2024-01-16,,2790000.00
7,MJ24B0008,C400008,Female,61,Books,9,2100000.00,Cash,2024-01-23,,18900000.00
7,MJ24B0009,C400009,Female,69,Souvenir,8,22000.00,Cash,2024-01-02,,176000.00
7,MJ24B0010,C400010,Male,66,Technology,11,145000.00,Debit Card,2024-01-09,,1595000.00
7,MJ24B0011,C400011,Male,37,Food & Beverage,4,4700000.00,Debit Card,2024-01-16,,18800000.00
7,MJ24B0012,C400012,Male,35,Technology,1,1350000.00,Debit Card,2024-01-23,,1350000.00
7,MJ24B0013,C400013,Female,37,Cosmetics,8,720000.00,Debit Card,2024-01-02,,5760000.00
7,MJ24B0014,C400014,Male,20,Shoes,8,22000.00,Debit Card,2024-01-09,,176000.00
7,MJ24B0015,C400015,Male,47,Cosmetics,10,22000.00,Debit Card,2024-01-16,,220000.00
7,MJ24B0016,C400016,Female,57,Clothing,2,1350000.00,Cash,2024-01-23,,2700000.00
7,MJ24B0017,C400017,Male,22,Souvenir,7,22000.00,Cash,2024-01-02,,154000.00
7,MJ24B0018,C400018,Male,49,Technology,3,1350000.00,Cash,2024-01-09,,4050000.00
7,MJ24B0019,C400019,Male,25,Food & Beverage,8,56000.00,Debit Card,2024-01-16,,448000.00
7,MJ24B0020,C400020,Female,55,Clothing,3,38000.00,Cash,2024-01-23,,114000.00
7,MJ24B0021,C400021,Male,59,Toys,5,38000.00,Credit Card,2024-01-02,,190000.00
7,MJ24B0022,C400022,Female,68,Books,9,89000.00,Debit Card,2024-01-09,,801000.00
7,MJ24B0023,C400023,Male,58,Technology,4,145000.00,Cash,2024-01-16,,580000.00
7,MJ24B0024,C400024,Female,40,Shoes,5,4700000.00,Cash,2024-01-23,,23500000.00
7,MJ24B0025,C400025,Female,65,Books,1,2100000.00,Debit Card,2024-01-02,,2100000.00
7,MJ24B0026,C400026,Female,71,Souvenir,9,89000.00,Credit Card,2024-01-09,,801000.00
7,MJ24B0027,C400027,Female,67,Technology,5,22000.00,Debit Card,2024-01-16,,110000.00
7,MJ24B0028,C400028,Female,55,Cosmetics,1,22000.00,Cash,2024-01-23,,22000.00
7,MJ24B0029,C400029,Male,44,Cosmetics,8,89000.00,Cash,2024-01-02,,712000.00
7,MJ24B0030,C400030,Male,61,Technology,5,22000.00,Cash,2024-01-09,,110000.00
7,MJ24B0031,C400031,Female,66,Shoes,1,89000.00,Cash,2024-01-16,,89000.00
7,MJ24B0032,C400032,Female,56,Books,12,56000.00,Credit Card,2024-01-23,,672000.00
7,MJ24B0033,C400033,Female,61,Technology,9,22000.00,Cash,2024-01-02,,198000.00
7,MJ24B0034,C400034,Female,66,Clothing,4,1350000.00,Credit Card,2024-01-09,,5400000.00
7,MJ24B0035,C400035,Male,36,Clothing,10,720000.00,Cash,2024-01-16,,7200000.00
7,MJ24B0036,C400036,Female,24,Shoes,1,310000.00,Credit Card,2024-01-23,,310000.00
7,MJ24B0037,C400037,Female,62,Toys,7,22000.00,Debit Card,2024-01-02,,154000.00
7,MJ24B0038,C400038,Male,69,Books,6,56000.00,Cash,2024-01-09,,336000.00
