branch_id,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
7,MJ25X0001,C500001,Female,57,Souvenir,1,810000.00,Cash,2025-01-02,,810000.00
7,MJ25X0002,C500002,Female,36,Books,8,195000.00,Credit Card,2025-01-13,,1560000.00
7,MJ25X0003,C500003,Female,59,Shoes,3,27000.00,Credit Card,2025-01-24,,81000.00
7,MJ25X0004,C500004,Female,21,Food & Beverage,2,195000.00,Debit Card,2025-01-07,,390000.00
7,MJ25X0005,C500005,Male,62,Shoes,3,1700000.00,Debit Card,2025-01-18,,5100000.00
7,MJ25X0006,C500006,Female,23,Technology,10,365000.00,Credit Card,2025-01-01,,3650000.00
7,MJ25X0007,C500007,Male,48,Toys,4,63000.00,Cash,2025-01-12,,252000.00
7,MJ25X0008,C500008,Female,21,Clothing,15,63000.00,Cash,2025-01-23,,945000.00
7,MJ25X0009,C500009,Female,74,Cosmetics,10,810000.00,Credit Card,2025-01-06,,8100000.00
7,MJ25X0010,C500010,Male,30,Shoes,3,810000.00,Cash,2025-01-17,,2430000.00
7,MJ25X0011,C500011,Female,47,Souvenir,1,1700000.00,Cash,2025-01-28,,1700000.00
7,MJ25X0012,C500012,Female,19,Clothing,1,365000.00,Cash,2025-01-11,,365000.00
7,MJ25X0013,C500013,Male,20,Books,15,118000.00,Credit Card,2025-01-22,,1770000.00
7,MJ25X0014,C500014,Female,61,Books,9,63000.00,Cash,2025-01-05,,567000.00
7,MJ25X0015,C500015,Female,23,Technology,6,118000.00,Debit Card,2025-01-16,,708000.00
7,MJ25X0016,C500016,Female,60,Technology,1,5600000.00,Debit Card,2025-01-27,,5600000.00
7,MJ25X0017,C500017,Female,57,Technology,6,195000.00,Debit Card,2025-01-10,,1170000.00
7,MJ25X0018,C500018,Female,54,Technology,1,118000.00,Credit Card,2025-01-21,,118000.00
7,MJ25X0019,C500019,Female,25,Technology,1,27000.00,Debit Card,2025-01-04,,27000.00
7,MJ25X0020,C500020,Male,45,Shoes,7,118000.00,Cash,2025-01-15,,826000.00
7,MJ25X0021,C500021,Female,80,Toys,9,5600000.00,Cash,2025-01-26,,50400000.00
7,MJ25X0022,C500022,Male,63,Books,4,5600000.00,Credit Card,2025-01-09,,22400000.00
7,MJ25X0023,C500023,Male,28,Books,5,365000.00,Debit Card,2025-01-20,,1825000.00
7,MJ25X0024,C500024,Male,66,Technology,9,810000.00,Debit Card,2025-01-03,,7290000.00
7,MJ25X0025,C500025,Female,39,Clothing,14,1700000.00,Debit Card,2025-01-14,,23800000.00
7,MJ25X0026,C500026,Male,76,Books,1,365000.00,Debit Card,2025-01-25,,365000.00
7,MJ25X0027,C500027,Female,69,Toys,5,27000.00,Credit Card,2025-01-08,,135000.00
7,MJ25X0028,C500028,Male,18,Shoes,2,1700000.00,Debit Card,2025-01-19,,3400000.00
7,MJ25X0029,C500029,Male,43,Souvenir,14,810000.00,Credit Card,2025-01-02,,11340000.00
7,MJ25X0030,C500030,Female,48,Books,6,63000.00,Credit Card,2025-01-13,,378000.00
